product_id,product_code,product_type,item_name,color,Currency,Value
3.0744573456180874e+18,2W0B0K53IYSK4S,WOMAN,LOCÒ CALFSKIN SHOULDER BAG,POWDER ROSE,CAD,3210.00
3.0744573456180864e+18,2B0CEE367TQS69,WOMAN,BLAZER IN EMBROIDERED TECHNO WEAVE,sand,CAD,7060.00
,2B0RB5D07TQS69,WOMAN,TECHNO WEAVE PANTS,,CAD,2650.00
3.0744573456180864e+18,2B0MR00N7V7S69,WOMAN,JERSEY BODYSUIT,sand,CAD,1070.00
3.074457345618084e+18,2W0S0393NWG7AF,WOMAN,ROCKSTUD PUMPS IN PATENT LEATHER AND POLYMERIC MATERIAL WITH STRAPS 100MM,PINK/TRANSPARENT,CAD,1580.00
3.0744573456180874e+18,2W0B0K30IYSGF9,WOMAN,LOCÒ CALFSKIN SHOULDER BAG,rose cannelle,CAD,3590.00
3.0744573456180864e+18,2B0AB4X07W1155,WOMAN,SARTORIAL POPELINE SHIRT,WHITE/SAND,CAD,2650.00
,2B0RA9V56D1S69,WOMAN,TECHNO DUCHESSE MIDI SKIRT,,CAD,5670.00
3.0744573456180874e+18,2B0VA3X06D1S69,WOMAN,SHORT DRESS IN TECHNO DUCHESSE,sand,CAD,5290.00
3.074457345616733e+18,2W2S0393VB8P45,WOMAN,Rockstud Ankle Strap Pump with Tonal Studs 100  mm,poudre,CAD,1390.00
3.0744573456180884e+18,2W0T0X49ABAKG8,WOMAN,VLOGO SIGNATURE BELT IN SHINY CALFSKIN 30MM,fondant,CAD,820.00
3.0744573456180874e+18,2W0J0T21YCW6RX,WOMAN,VLOGO SIGNATURE EARRINGS,PALLADIUM/SILVER,CAD,2730.00
3.0744573456180864e+18,2B0CA6M374BMUS,WOMAN,EMBROIDERED DRY TAILORING WOOL COAT,TUSCAN SUN,CAD,10710.00
3.0744573456180874e+18,2W0S0DT4KCCK4S,WOMAN,ONE STUD PATENT LEATHER PUMP WITH MATCHING STUD 90 MM,POWDER ROSE,CAD,1240.00
3.0744573456180864e+18,2B0MR00S7WMS69,WOMAN,JERSEY BODYSUIT,sand,CAD,1030.00
3.0744573456180884e+18,2B0RA9V074BMUS,WOMAN,DRY TAILORING WOOL SKIRT,TUSCAN SUN,CAD,6680.00
3.0744573456180874e+18,2W0S0GX1HCWK4S,WOMAN,ROCKSTUD PATENT-LEATHER PUMP 90 MM,POWDER ROSE,CAD,1160.00
3.0744573456180874e+18,2W0B0K53QDDMZT,WOMAN,SMALL LOCÒ SHOULDER BAG WITH CRYSTALS,LEMON,CAD,6170.00
,2W0T0X49ABAK4S,WOMAN,VLOGO SIGNATURE BELT IN SHINY CALFSKIN 30MM,,CAD,820.00
3.0744573456180874e+18,2W0B0K53ZXLN5A,WOMAN,LOCÒ SMALL SHOULDER BAG IN CALFSKIN,yellow,CAD,3090.00
3.0744573456180874e+18,2B0VA3L67SLE21,WOMAN,MIDI DRESS IN TOILE ICONOGRAPHE CREPE DE CHINE,BEIGE/BLACK,CAD,8690.00
3.074457345618073e+18,2B3KI00N7T3E21,WOMAN,TOILE ICONOGRAPHE TULLE TIGHTS,BEIGE/BLACK,CAD,490.00
3.0744573456180884e+18,2W0S0R01EBH6ZN,WOMAN,VLOGO SIGNATURE SLINGBACK PUMP IN TOILE ICONOGRAPHE 80MM,BEIGE/BLACK,CAD,1240.00
3.074457345618083e+18,2W0B0L97JSQ6ZN,WOMAN,SMALL LOCÒ TOILE ICONOGRAPHE SHOULDER BAG,BEIGE/BLACK,CAD,3090.00
3.0744573456180874e+18,2W0S0GT4BBQ2P0,WOMAN,TOILE ICONOGRAPHE PUMP IN POLYMER AND PATENT MATERIAL 90MM,BLACK/TRANSPARENT,CAD,1510.00
3.0744573456180756e+18,2W2B0L29HUJ6ZN,WOMAN,LA TROISIEME TOILE ICONOGRAPHE SHOPPING BAG,BEIGE/BLACK,CAD,3390.00
3.0744573456180874e+18,2W0GCA24DHXE21,WOMAN,TOILE ICONOGRAPHE LONG GLOVES IN TULLE,BEIGE/BLACK,CAD,620.00
3.0744573456180874e+18,2W0P0Z11VRI6ZN,WOMAN,LOCÒ TOILE ICONOGRAPHE PHONE CASE WITH CHAIN,BEIGE/BLACK,CAD,1450.00
3.0744573456180874e+18,2B0VA3Y01CF0NO,WOMAN,CREPE COUTURE SHORT DRESS,black,CAD,5290.00
3.0744573456180874e+18,2W0J0T05ZLQY79,WOMAN,ROCKSTUD METAL CHOKER,brown,CAD,3260.00
3.0744573456180874e+18,2B0VA3Q01CF0NO,WOMAN,CREPE COUTURE SHORT DRESS,black,CAD,5670.00
3.0744573456180874e+18,2W0S0GX1HCWE05,WOMAN,ROCKSTUD PATENT-LEATHER PUMP 90 MM,EBONY,CAD,1160.00
3.0744573456180874e+18,2B0VA3B35A6155,WOMAN,COTTON POPELINE SHORT DRESS,WHITE/SAND,CAD,4410.00
3.0744573456180884e+18,2W0T0X47ABAGF9,WOMAN,VLOGO SIGNATURE BELT IN SHINY CALFSKIN 20MM,rose cannelle,CAD,720.00
3.0744573456180874e+18,2W0J0T05ZLQLC0,WOMAN,ROCKSTUD METAL CHOKER,LIGHT CAMEL,CAD,3260.00
,2W0J0T07ZLQLC0,WOMAN,ROCKSTUD METAL EARRINGS,,CAD,1070.00
3.0744573456180864e+18,2B0CEE357TQLC0,WOMAN,EMBROIDERED TECHNO WEAVE BLAZER,LIGHT CAMEL,CAD,8190.00
