product_id,product_code,product_type,item_name,color,price,image_url
3074457345618087316,2W0B0K53IYSK4S,WOMAN,LOCÒ CALFSKIN SHOULDER BAG,POWDER ROSE,"CAD$3,210.00",https://www.valentino.com/variants/images/1647597307781013/F/w60.jpg
3074457345618086221,2B0CEE367TQS69,WOMAN,BLAZER IN EMBROIDERED TECHNO WEAVE,sand,"CAD$7,060.00",https://www.valentino.com/variants/images/1647597303638207/F/w60.jpg
,2B0RB5D07TQS69,WOMAN,TECHNO WEAVE PANTS,,"CAD$2,650.00",
3074457345618086223,2B0MR00N7V7S69,WOMAN,JERSEY BODYSUIT,sand,"CAD$1,070.00",https://www.valentino.com/variants/images/1647597303637801/F/w60.jpg
3074457345618083673,2W0S0393NWG7AF,WOMAN,ROCKSTUD PUMPS IN PATENT LEATHER AND POLYMERIC MATERIAL WITH STRAPS 100MM,PINK/TRANSPARENT,"CAD$1,580.00",https://www.valentino.com/variants/images/1647597305880880/F/w60.jpg
3074457345618087299,2W0B0K30IYSGF9,WOMAN,LOCÒ CALFSKIN SHOULDER BAG,rose cannelle,"CAD$3,590.00",https://www.valentino.com/variants/images/1647597307781007/F/w60.jpg
3074457345618086213,2B0AB4X07W1155,WOMAN,SARTORIAL POPELINE SHIRT,WHITE/SAND,"CAD$2,650.00",https://www.valentino.com/variants/images/1647597303637768/F/w60.jpg
,2B0RA9V56D1S69,WOMAN,TECHNO DUCHESSE MIDI SKIRT,,"CAD$5,670.00",
3074457345618087278,2B0VA3X06D1S69,WOMAN,SHORT DRESS IN TECHNO DUCHESSE,sand,"CAD$5,290.00",https://www.valentino.com/variants/images/1647597307777421/F/w60.jpg
3074457345616733065,2W2S0393VB8P45,WOMAN,Rockstud Ankle Strap Pump with Tonal Studs 100  mm,poudre,"CAD$1,390.00",https://www.valentino.com/variants/images/82673811910069/F/w60.jpg
3074457345618088223,2W0T0X49ABAKG8,WOMAN,VLOGO SIGNATURE BELT IN SHINY CALFSKIN 30MM,fondant,CAD$820.00,https://www.valentino.com/variants/images/1647597307783022/F/w60.jpg
3074457345618087342,2W0J0T21YCW6RX,WOMAN,VLOGO SIGNATURE EARRINGS,PALLADIUM/SILVER,"CAD$2,730.00",https://www.valentino.com/variants/images/1647597307781055/F/w60.jpg
3074457345618086236,2B0CA6M374BMUS,WOMAN,EMBROIDERED DRY TAILORING WOOL COAT,TUSCAN SUN,"CAD$10,710.00",https://www.valentino.com/variants/images/1647597307777335/F/w60.jpg
3074457345618087356,2W0S0DT4KCCK4S,WOMAN,ONE STUD PATENT LEATHER PUMP WITH MATCHING STUD 90 MM,POWDER ROSE,"CAD$1,240.00",https://www.valentino.com/variants/images/1647597307781081/F/w60.jpg
3074457345618086216,2B0MR00S7WMS69,WOMAN,JERSEY BODYSUIT,sand,"CAD$1,030.00",https://www.valentino.com/variants/images/1647597303637943/F/w60.jpg
3074457345618088215,2B0RA9V074BMUS,WOMAN,DRY TAILORING WOOL SKIRT,TUSCAN SUN,"CAD$6,680.00",https://www.valentino.com/variants/images/1647597307783495/F/w60.jpg
3074457345618087370,2W0S0GX1HCWK4S,WOMAN,ROCKSTUD PATENT-LEATHER PUMP 90 MM,POWDER ROSE,"CAD$1,160.00",https://www.valentino.com/variants/images/1647597307782276/F/w60.jpg
3074457345618087308,2W0B0K53QDDMZT,WOMAN,SMALL LOCÒ SHOULDER BAG WITH CRYSTALS,LEMON,"CAD$6,170.00",https://www.valentino.com/variants/images/1647597307781019/F/w60.jpg
,2W0T0X49ABAK4S,WOMAN,VLOGO SIGNATURE BELT IN SHINY CALFSKIN 30MM,,CAD$820.00,
3074457345618087323,2W0B0K53ZXLN5A,WOMAN,LOCÒ SMALL SHOULDER BAG IN CALFSKIN,yellow,"CAD$3,090.00",https://www.valentino.com/variants/images/1647597307781022/F/w60.jpg
3074457345618087276,2B0VA3L67SLE21,WOMAN,MIDI DRESS IN TOILE ICONOGRAPHE CREPE DE CHINE,BEIGE/BLACK,"CAD$8,690.00",https://www.valentino.com/variants/images/1647597307777411/F/w60.jpg
3074457345618073325,2B3KI00N7T3E21,WOMAN,TOILE ICONOGRAPHE TULLE TIGHTS,BEIGE/BLACK,CAD$490.00,https://www.valentino.com/variants/images/1647597301218209/F/w60.jpg
3074457345618088202,2W0S0R01EBH6ZN,WOMAN,VLOGO SIGNATURE SLINGBACK PUMP IN TOILE ICONOGRAPHE 80MM,BEIGE/BLACK,"CAD$1,240.00",https://www.valentino.com/variants/images/1647597307782289/F/w60.jpg
3074457345618082671,2W0B0L97JSQ6ZN,WOMAN,SMALL LOCÒ TOILE ICONOGRAPHE SHOULDER BAG,BEIGE/BLACK,"CAD$3,090.00",https://www.valentino.com/variants/images/1647597305832952/F/w60.jpg
3074457345618087363,2W0S0GT4BBQ2P0,WOMAN,TOILE ICONOGRAPHE PUMP IN POLYMER AND PATENT MATERIAL 90MM,BLACK/TRANSPARENT,"CAD$1,510.00",https://www.valentino.com/variants/images/1647597307781086/F/w60.jpg
3074457345618075477,2W2B0L29HUJ6ZN,WOMAN,LA TROISIEME TOILE ICONOGRAPHE SHOPPING BAG,BEIGE/BLACK,"CAD$3,390.00",https://www.valentino.com/variants/images/1647597301232229/F/w60.jpg
3074457345618087348,2W0GCA24DHXE21,WOMAN,TOILE ICONOGRAPHE LONG GLOVES IN TULLE,BEIGE/BLACK,CAD$620.00,https://www.valentino.com/variants/images/1647597307781039/F/w60.jpg
3074457345618087366,2W0P0Z11VRI6ZN,WOMAN,LOCÒ TOILE ICONOGRAPHE PHONE CASE WITH CHAIN,BEIGE/BLACK,"CAD$1,450.00",https://www.valentino.com/variants/images/1647597307781069/F/w60.jpg
3074457345618087273,2B0VA3Y01CF0NO,WOMAN,CREPE COUTURE SHORT DRESS,black,"CAD$5,290.00",https://www.valentino.com/variants/images/1647597307777423/F/w60.jpg
3074457345618087341,2W0J0T05ZLQY79,WOMAN,ROCKSTUD METAL CHOKER,brown,"CAD$3,260.00",https://www.valentino.com/variants/images/1647597307781050/F/w60.jpg
3074457345618087272,2B0VA3Q01CF0NO,WOMAN,CREPE COUTURE SHORT DRESS,black,"CAD$5,670.00",https://www.valentino.com/variants/images/1647597307777413/F/w60.jpg
3074457345618087369,2W0S0GX1HCWE05,WOMAN,ROCKSTUD PATENT-LEATHER PUMP 90 MM,EBONY,"CAD$1,160.00",https://www.valentino.com/variants/images/1647597307782275/F/w60.jpg
3074457345618087259,2B0VA3B35A6155,WOMAN,COTTON POPELINE SHORT DRESS,WHITE/SAND,"CAD$4,410.00",https://www.valentino.com/variants/images/1647597307777406/F/w60.jpg
3074457345618088213,2W0T0X47ABAGF9,WOMAN,VLOGO SIGNATURE BELT IN SHINY CALFSKIN 20MM,rose cannelle,CAD$720.00,https://www.valentino.com/variants/images/1647597307783019/F/w60.jpg
3074457345618087340,2W0J0T05ZLQLC0,WOMAN,ROCKSTUD METAL CHOKER,LIGHT CAMEL,"CAD$3,260.00",https://www.valentino.com/variants/images/1647597307781049/F/w60.jpg
,2W0J0T07ZLQLC0,WOMAN,ROCKSTUD METAL EARRINGS,,"CAD$1,070.00",
3074457345618086248,2B0CEE357TQLC0,WOMAN,EMBROIDERED TECHNO WEAVE BLAZER,LIGHT CAMEL,"CAD$8,190.00",https://www.valentino.com/variants/images/1647597307777337/F/w60.jpg
3074457345618088671,2W0B0M00QGXGF9,WOMAN,LE TROISIÈME RUBBER SHOPPING BAG,rose cannelle,"CAD$2,080.00",https://www.valentino.com/variants/images/1647597307813240/F/w60.jpg
3074457345618087261,2B0RF2F07TQLC0,WOMAN,TECHNO WEAVE SHORTS,LIGHT CAMEL,"CAD$1,640.00",https://www.valentino.com/variants/images/1647597307777401/F/w60.jpg
3074457345618087334,2W0J0E35JXFY79,WOMAN,VLOGO SIGNATURE METAL EARRINGS WITH SWAROVSKI® PEARLS,brown,CAD$470.00,https://www.valentino.com/variants/images/1647597307781042/F/w60.jpg
3074457345618086212,2B0MR00Q7VRMUX,WOMAN,TOILE ICONOGRAPHE JERSEY BODYSUIT,LIGHT CAMEL/BLACK,"CAD$1,640.00",https://www.valentino.com/variants/images/1647597307777357/F/w60.jpg
3074457345618086226,2B0RA9V67UWMUX,WOMAN,TOILE ICONOGRAPHE FAILLE MIDI SKIRT,LIGHT CAMEL/BLACK,"CAD$6,930.00",https://www.valentino.com/variants/images/1647597307777395/F/w60.jpg
,2W0J0T07ZLQY79,WOMAN,ROCKSTUD METAL EARRINGS,,"CAD$1,070.00",
3074457345618086247,2B0ME00V7V6MUX,WOMAN,TOILE ICONOGRAPHE JERSEY JUMPSUIT,LIGHT CAMEL/BLACK,"CAD$3,150.00",https://www.valentino.com/variants/images/1647597307777353/F/w60.jpg
3074457345618086244,2B0CE2N374BS69,WOMAN,DRY TAILORING WOOL EMBROIDERED BLAZER,sand,"CAD$6,550.00",https://www.valentino.com/variants/images/1647597307777336/F/w60.jpg
3074457345618087270,2B0RB52074BS69,WOMAN,DRY TAILORING WOOL PANTS,sand,"CAD$2,260.00",https://www.valentino.com/variants/images/1647597307777397/F/w60.jpg
3074457345618087305,2W0B0K53ANFMZD,WOMAN,LOCÒ EMBROIDERED SMALL SHOULDER BAG,ROSE MIST,"CAD$5,670.00",https://www.valentino.com/variants/images/1647597307781008/F/w60.jpg
3074457345618086218,2B0MR00S7WMLC0,WOMAN,JERSEY BODYSUIT,LIGHT CAMEL,"CAD$1,030.00",https://www.valentino.com/variants/images/1647597307777359/F/w60.jpg
3074457345618086258,2B0KC45I7UAS69,WOMAN,STRETCHED VISCOSE SWEATER,sand,"CAD$2,020.00",https://www.valentino.com/variants/images/1647597307777342/F/w60.jpg
3074457345618087269,2B0RB52074BLC0,WOMAN,DRY TAILORING WOOL PANTS,LIGHT CAMEL,"CAD$2,260.00",https://www.valentino.com/variants/images/1647597307777396/F/w60.jpg
3074457345618086225,2B0MR00N7V7LC0,WOMAN,JERSEY BODYSUIT,LIGHT CAMEL,"CAD$1,070.00",https://www.valentino.com/variants/images/1647597307777355/F/w60.jpg
3074457345618088672,2W0B0M00QGXK4S,WOMAN,LE TROISIÈME RUBBER SHOPPING BAG,POWDER ROSE,"CAD$2,080.00",https://www.valentino.com/variants/images/1647597307813242/F/w60.jpg
3074457345618086215,2B0AB4X07W1MTH,WOMAN,SARTORIAL POPELINE SHIRT,WHITE/LIGHT CAMEL,"CAD$2,650.00",https://www.valentino.com/variants/images/1647597307777334/F/w60.jpg
3074457345618086240,2B0VA3V06D1E05,WOMAN,SHORT DRESS IN TECHNO DUCHESSE,EBONY,"CAD$4,910.00",https://www.valentino.com/variants/images/1647597303638175/F/w60.jpg
